task,repeat,ablation_phase,ablation_architecture,ablation_parameter_count,ablation_best_val,reference_kind,reference_phase,reference_architecture,reference_best_val,winner,winner_value
classification,1,stl_ablation_r01_d07_w1284_1284_1284_1284_1284_1284_1284_1284,"[1284, 1284, 1284, 1284, 1284, 1284, 1284]",9997231,0.10030729420417328,adp,ae_alt_depth,"[105, 105, 105, 104, 104, 104]",0.08898697692691039,adp,0.08898697692691039
classification,1,stl_ablation_r01_d07_w1284_1284_1284_1284_1284_1284_1284_1284,"[1284, 1284, 1284, 1284, 1284, 1284, 1284]",9997231,0.10030729420417328,adp,ae_alt_width,"[227, 227, 227, 227, 227, 227, 227, 227, 226, 226]",0.09031726454395253,adp,0.09031726454395253
classification,1,stl_ablation_r01_d07_w1284_1284_1284_1284_1284_1284_1284_1284,"[1284, 1284, 1284, 1284, 1284, 1284, 1284]",9997231,0.10030729420417328,adp,ae_width_to_depth,"[161, 160, 160, 160]",0.08618749312472872,adp,0.08618749312472872
classification,1,stl_ablation_r01_d07_w1284_1284_1284_1284_1284_1284_1284_1284,"[1284, 1284, 1284, 1284, 1284, 1284, 1284]",9997231,0.10030729420417328,adp,ae_depth_to_width,"[93, 93, 93, 93, 93, 93, 93, 92, 92, 92]",0.08750509213577258,adp,0.08750509213577258
classification,1,stl_ablation_r01_d07_w1284_1284_1284_1284_1284_1284_1284_1284,"[1284, 1284, 1284, 1284, 1284, 1284, 1284]",9997231,0.10030729420417328,paired_stl,stl_from_ae_alt_depth,"[105, 105, 105, 104, 104, 104]",0.18634911513076596,ablation_stl,0.10030729420417328
classification,1,stl_ablation_r01_d07_w1284_1284_1284_1284_1284_1284_1284_1284,"[1284, 1284, 1284, 1284, 1284, 1284, 1284]",9997231,0.10030729420417328,paired_stl,stl_from_ae_alt_width,"[227, 227, 227, 227, 227, 227, 227, 227, 226, 226]",0.14570796492767568,ablation_stl,0.10030729420417328
classification,1,stl_ablation_r01_d07_w1284_1284_1284_1284_1284_1284_1284_1284,"[1284, 1284, 1284, 1284, 1284, 1284, 1284]",9997231,0.10030729420417328,paired_stl,stl_from_ae_width_to_depth,"[161, 160, 160, 160]",0.2009544138106579,ablation_stl,0.10030729420417328
classification,1,stl_ablation_r01_d07_w1284_1284_1284_1284_1284_1284_1284_1284,"[1284, 1284, 1284, 1284, 1284, 1284, 1284]",9997231,0.10030729420417328,paired_stl,stl_from_ae_depth_to_width,"[93, 93, 93, 93, 93, 93, 93, 92, 92, 92]",0.16479575640055377,ablation_stl,0.10030729420417328
classification,2,stl_ablation_r02_d07_w1284_1284_1284_1284_1284_1284_1284_1284,"[1284, 1284, 1284, 1284, 1284, 1284, 1284]",9997231,0.10168617999722335,adp,ae_alt_depth,"[105, 105, 105, 104, 104, 104]",0.08898697692691039,adp,0.08898697692691039
classification,2,stl_ablation_r02_d07_w1284_1284_1284_1284_1284_1284_1284_1284,"[1284, 1284, 1284, 1284, 1284, 1284, 1284]",9997231,0.10168617999722335,adp,ae_alt_width,"[227, 227, 227, 227, 227, 227, 227, 227, 226, 226]",0.09031726454395253,adp,0.09031726454395253
