[2026-06-13 20:20:01] Initialized ContinuousLogger for MLPS.tabular.shared.dae_dnn.adp_search (Mode: width_to_depth)
[2026-06-13 20:20:01] Logs: MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_05/simulation/cand_033_d1_w34/training_log.txt
[2026-06-13 20:20:01] CSV: MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_05/simulation/cand_033_d1_w34/training_stats.csv
[2026-06-13 20:20:01] Epoch 1 | architecture=[34] train_loss=0.020842 val_loss=0.016714 best=0.016714 es=0/10
[2026-06-13 20:20:02] Epoch 1 | architecture=[34] train_loss=0.015950 val_loss=0.019214 best=0.019214 es=0/10
[2026-06-13 20:20:02] Epoch 1 | architecture=[34] train_loss=0.015145 val_loss=0.018494 best=0.018494 es=0/10
[2026-06-13 20:20:02] Epoch 1 | architecture=[34] train_loss=0.015587 val_loss=0.017730 best=0.017730 es=0/10
[2026-06-13 20:20:02] Epoch 1 | architecture=[34] train_loss=0.015330 val_loss=0.016930 best=0.016930 es=0/10
[2026-06-13 20:20:03] Epoch 1 | architecture=[34] train_loss=0.016598 val_loss=0.016183 best=0.016183 es=0/10
[2026-06-13 20:20:03] Epoch 1 | architecture=[34] train_loss=0.015568 val_loss=0.016487 best=0.016487 es=0/10
[2026-06-13 20:20:03] Epoch 1 | architecture=[34] train_loss=0.014604 val_loss=0.017105 best=0.017105 es=0/10
[2026-06-13 20:20:03] Epoch 1 | architecture=[34] train_loss=0.015444 val_loss=0.016235 best=0.016235 es=0/10
[2026-06-13 20:20:03] Epoch 1 | architecture=[34] train_loss=0.014423 val_loss=0.015571 best=0.015571 es=0/10
[2026-06-13 20:20:04] Epoch 1 | architecture=[34] train_loss=0.014460 val_loss=0.014973 best=0.014973 es=0/10
[2026-06-13 20:20:04] Epoch 1 | architecture=[34] train_loss=0.014512 val_loss=0.014659 best=0.014659 es=0/10
[2026-06-13 20:20:04] Epoch 1 | architecture=[34] train_loss=0.014002 val_loss=0.014642 best=0.014642 es=0/10
[2026-06-13 20:20:04] Epoch 1 | architecture=[34] train_loss=0.014308 val_loss=0.015223 best=0.015223 es=0/10
[2026-06-13 20:20:04] Epoch 1 | architecture=[34] train_loss=0.014056 val_loss=0.015869 best=0.015869 es=0/10
[2026-06-13 20:20:05] Epoch 1 | architecture=[34] train_loss=0.013908 val_loss=0.015699 best=0.015699 es=0/10
[2026-06-13 20:20:05] Epoch 1 | architecture=[34] train_loss=0.014054 val_loss=0.015203 best=0.015203 es=0/10
[2026-06-13 20:20:05] Epoch 1 | architecture=[34] train_loss=0.014725 val_loss=0.014915 best=0.014915 es=0/10
[2026-06-13 20:20:05] Epoch 1 | architecture=[34] train_loss=0.013778 val_loss=0.014940 best=0.014940 es=0/10
[2026-06-13 20:20:05] Epoch 1 | architecture=[34] train_loss=0.013982 val_loss=0.015072 best=0.015072 es=0/10
[2026-06-13 20:20:05] Epoch 1 | architecture=[34] train_loss=0.014075 val_loss=0.015124 best=0.015124 es=0/10
[2026-06-13 20:20:06] Epoch 1 | architecture=[34] train_loss=0.013952 val_loss=0.014962 best=0.014962 es=0/10
