[2026-06-14 03:47:45] Initialized ContinuousLogger for MLPS.tabular.shared.dae_dnn.adp_search (Mode: width_to_depth)
[2026-06-14 03:47:45] Logs: MLPS/tabular/shared/dae_dnn/results/adp/w2d/main_without_denoising_v1/repeat_03/simulation/cand_808_d7_w126/training_log.txt
[2026-06-14 03:47:45] CSV: MLPS/tabular/shared/dae_dnn/results/adp/w2d/main_without_denoising_v1/repeat_03/simulation/cand_808_d7_w126/training_stats.csv
[2026-06-14 03:47:45] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 53] train_loss=0.007534 val_loss=0.001753 best=0.001753 es=0/10
[2026-06-14 03:47:45] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 53] train_loss=0.002017 val_loss=0.000930 best=0.000930 es=0/10
[2026-06-14 03:47:46] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 53] train_loss=0.005324 val_loss=0.001335 best=0.001335 es=0/10
[2026-06-14 03:47:46] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 53] train_loss=0.001260 val_loss=0.001656 best=0.001656 es=0/10
[2026-06-14 03:47:46] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 53] train_loss=0.001678 val_loss=0.001301 best=0.001301 es=0/10
[2026-06-14 03:47:47] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 53] train_loss=0.000875 val_loss=0.000535 best=0.000535 es=0/10
[2026-06-14 03:47:47] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 53] train_loss=0.003479 val_loss=0.000704 best=0.000704 es=0/10
[2026-06-14 03:47:47] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 53] train_loss=0.000809 val_loss=0.001032 best=0.001032 es=0/10
[2026-06-14 03:47:48] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 53] train_loss=0.001256 val_loss=0.000990 best=0.000990 es=0/10
[2026-06-14 03:47:48] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 53] train_loss=0.001103 val_loss=0.000347 best=0.000347 es=0/10
[2026-06-14 03:47:48] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 53] train_loss=0.001127 val_loss=0.000249 best=0.000249 es=0/10
[2026-06-14 03:47:49] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 53] train_loss=0.002223 val_loss=0.000169 best=0.000169 es=0/10
[2026-06-14 03:47:49] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 53] train_loss=0.000373 val_loss=0.000327 best=0.000327 es=0/10
[2026-06-14 03:47:50] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 53] train_loss=0.001869 val_loss=0.000481 best=0.000481 es=0/10
[2026-06-14 03:47:50] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 53] train_loss=0.000978 val_loss=0.000371 best=0.000371 es=0/10
[2026-06-14 03:47:50] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 53] train_loss=0.002162 val_loss=0.000241 best=0.000241 es=0/10
[2026-06-14 03:47:51] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 53] train_loss=0.000877 val_loss=0.000349 best=0.000349 es=0/10
[2026-06-14 03:47:51] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 53] train_loss=0.000816 val_loss=0.000524 best=0.000524 es=0/10
[2026-06-14 03:47:51] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 53] train_loss=0.001350 val_loss=0.000458 best=0.000458 es=0/10
[2026-06-14 03:47:51] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 53] train_loss=0.001094 val_loss=0.000243 best=0.000243 es=0/10
[2026-06-14 03:47:52] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 53] train_loss=0.000618 val_loss=0.000250 best=0.000250 es=0/10
[2026-06-14 03:47:52] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 53] train_loss=0.000815 val_loss=0.000301 best=0.000301 es=0/10
