[2026-05-18 19:51:53] Initialized ContinuousLogger for representation_ae_width_to_depth (Mode: ae_width_to_depth)
[2026-05-18 19:51:53] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_width_to_depth/cand_032_d1_w33/training_log.txt
[2026-05-18 19:51:53] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_width_to_depth/cand_032_d1_w33/training_stats.csv
[2026-05-18 19:51:53] [CANDIDATE] task=representation phase=ae_width_to_depth index=32 search_phase=width architecture=[33]
[2026-05-18 19:52:00] [representation][ae_width_to_depth][cand_032_d1_w33] epoch=1 architecture=[33] train_loss=0.454063 val_loss=0.453689 best=0.453179 es=0/5
[2026-05-18 19:52:03] [representation][ae_width_to_depth][cand_032_d1_w33] epoch=2 architecture=[33] train_loss=0.452488 val_loss=0.453604 best=0.453179 es=1/5
[2026-05-18 19:52:05] [representation][ae_width_to_depth][cand_032_d1_w33] epoch=3 architecture=[33] train_loss=0.452011 val_loss=0.453306 best=0.453179 es=0/5
[2026-05-18 19:52:07] [representation][ae_width_to_depth][cand_032_d1_w33] epoch=4 architecture=[33] train_loss=0.451306 val_loss=0.453126 best=0.453126 es=0/5
[2026-05-18 19:52:12] [representation][ae_width_to_depth][cand_032_d1_w33] epoch=5 architecture=[33] train_loss=0.451298 val_loss=0.452940 best=0.452940 es=0/5
[2026-05-18 19:52:14] [representation][ae_width_to_depth][cand_032_d1_w33] epoch=6 architecture=[33] train_loss=0.451294 val_loss=0.452984 best=0.452940 es=1/5
[2026-05-18 19:52:16] [representation][ae_width_to_depth][cand_032_d1_w33] epoch=7 architecture=[33] train_loss=0.451252 val_loss=0.453124 best=0.452940 es=2/5
[2026-05-18 19:52:18] [representation][ae_width_to_depth][cand_032_d1_w33] epoch=8 architecture=[33] train_loss=0.451412 val_loss=0.453484 best=0.452940 es=3/5
[2026-05-18 19:52:21] [representation][ae_width_to_depth][cand_032_d1_w33] epoch=9 architecture=[33] train_loss=0.451145 val_loss=0.452450 best=0.452450 es=0/5
[2026-05-18 19:52:25] [representation][ae_width_to_depth][cand_032_d1_w33] epoch=10 architecture=[33] train_loss=0.450843 val_loss=0.452139 best=0.452139 es=0/5
[2026-05-18 19:52:27] [representation][ae_width_to_depth][cand_032_d1_w33] epoch=11 architecture=[33] train_loss=0.450433 val_loss=0.453468 best=0.452139 es=1/5
[2026-05-18 19:52:30] [representation][ae_width_to_depth][cand_032_d1_w33] epoch=12 architecture=[33] train_loss=0.450709 val_loss=0.452950 best=0.452139 es=2/5
[2026-05-18 19:52:32] [representation][ae_width_to_depth][cand_032_d1_w33] epoch=13 architecture=[33] train_loss=0.450654 val_loss=0.453748 best=0.452139 es=3/5
[2026-05-18 19:52:34] [representation][ae_width_to_depth][cand_032_d1_w33] epoch=14 architecture=[33] train_loss=0.450882 val_loss=0.452060 best=0.452139 es=4/5
[2026-05-18 19:52:38] [representation][ae_width_to_depth][cand_032_d1_w33] epoch=15 architecture=[33] train_loss=0.450149 val_loss=0.451598 best=0.451598 es=0/5
[2026-05-18 19:52:41] [representation][ae_width_to_depth][cand_032_d1_w33] epoch=16 architecture=[33] train_loss=0.449875 val_loss=0.452040 best=0.451598 es=1/5
[2026-05-18 19:52:43] [representation][ae_width_to_depth][cand_032_d1_w33] epoch=17 architecture=[33] train_loss=0.450168 val_loss=0.451352 best=0.451352 es=0/5
[2026-05-18 19:52:45] [representation][ae_width_to_depth][cand_032_d1_w33] epoch=18 architecture=[33] train_loss=0.450069 val_loss=0.451199 best=0.451199 es=0/5
[2026-05-18 19:52:47] [representation][ae_width_to_depth][cand_032_d1_w33] epoch=19 architecture=[33] train_loss=0.449510 val_loss=0.451708 best=0.451199 es=1/5
[2026-05-18 19:52:52] [representation][ae_width_to_depth][cand_032_d1_w33] epoch=20 architecture=[33] train_loss=0.449542 val_loss=0.451401 best=0.451199 es=2/5
[2026-05-18 19:52:54] [representation][ae_width_to_depth][cand_032_d1_w33] epoch=21 architecture=[33] train_loss=0.449270 val_loss=0.451159 best=0.451199 es=3/5
[2026-05-18 19:52:56] [representation][ae_width_to_depth][cand_032_d1_w33] epoch=22 architecture=[33] train_loss=0.449001 val_loss=0.451521 best=0.451199 es=4/5
[2026-05-18 19:52:58] [representation][ae_width_to_depth][cand_032_d1_w33] epoch=23 architecture=[33] train_loss=0.449220 val_loss=0.451185 best=0.451199 es=5/5
