[2026-06-11 02:04:16] Initialized ContinuousLogger for MLPS.tabular.shared.dae_dnn.adp_search (Mode: width_to_depth)
[2026-06-11 02:04:16] Logs: MLPS/tabular/shared/dae_dnn/results/adp/w2d/repeat4_plus_sim_pred5_v1/repeat_01/simulation/cand_741_d6_w124/training_log.txt
[2026-06-11 02:04:16] CSV: MLPS/tabular/shared/dae_dnn/results/adp/w2d/repeat4_plus_sim_pred5_v1/repeat_01/simulation/cand_741_d6_w124/training_stats.csv
[2026-06-11 02:04:16] Epoch 1 | architecture=[124, 124, 124, 124, 123, 123] train_loss=0.006983 val_loss=0.003846 best=0.003846 es=0/10
[2026-06-11 02:04:16] Epoch 1 | architecture=[124, 124, 124, 124, 123, 123] train_loss=0.001873 val_loss=0.001985 best=0.001985 es=0/10
[2026-06-11 02:04:16] Epoch 1 | architecture=[124, 124, 124, 124, 123, 123] train_loss=0.003564 val_loss=0.002841 best=0.002841 es=0/10
[2026-06-11 02:04:16] Epoch 1 | architecture=[124, 124, 124, 124, 123, 123] train_loss=0.002533 val_loss=0.000908 best=0.000908 es=0/10
[2026-06-11 02:04:17] Epoch 1 | architecture=[124, 124, 124, 124, 123, 123] train_loss=0.002561 val_loss=0.001773 best=0.001773 es=0/10
[2026-06-11 02:04:17] Epoch 1 | architecture=[124, 124, 124, 124, 123, 123] train_loss=0.002058 val_loss=0.001430 best=0.001430 es=0/10
[2026-06-11 02:04:17] Epoch 1 | architecture=[124, 124, 124, 124, 123, 123] train_loss=0.001081 val_loss=0.000723 best=0.000723 es=0/10
[2026-06-11 02:04:18] Epoch 1 | architecture=[124, 124, 124, 124, 123, 123] train_loss=0.001388 val_loss=0.000824 best=0.000824 es=0/10
[2026-06-11 02:04:18] Epoch 1 | architecture=[124, 124, 124, 124, 123, 123] train_loss=0.001189 val_loss=0.001163 best=0.001163 es=0/10
[2026-06-11 02:04:18] Epoch 1 | architecture=[124, 124, 124, 124, 123, 123] train_loss=0.001130 val_loss=0.000705 best=0.000705 es=0/10
[2026-06-11 02:04:18] Epoch 1 | architecture=[124, 124, 124, 124, 123, 123] train_loss=0.000872 val_loss=0.000527 best=0.000527 es=0/10
[2026-06-11 02:04:18] Epoch 1 | architecture=[124, 124, 124, 124, 123, 123] train_loss=0.000815 val_loss=0.000669 best=0.000669 es=0/10
[2026-06-11 02:04:19] Epoch 1 | architecture=[124, 124, 124, 124, 123, 123] train_loss=0.000903 val_loss=0.000409 best=0.000409 es=0/10
[2026-06-11 02:04:19] Epoch 1 | architecture=[124, 124, 124, 124, 123, 123] train_loss=0.001288 val_loss=0.000425 best=0.000425 es=0/10
[2026-06-11 02:04:19] Epoch 1 | architecture=[124, 124, 124, 124, 123, 123] train_loss=0.000696 val_loss=0.000402 best=0.000402 es=0/10
[2026-06-11 02:04:19] Epoch 1 | architecture=[124, 124, 124, 124, 123, 123] train_loss=0.000372 val_loss=0.000371 best=0.000371 es=0/10
[2026-06-11 02:04:20] Epoch 1 | architecture=[124, 124, 124, 124, 123, 123] train_loss=0.001392 val_loss=0.000269 best=0.000269 es=0/10
[2026-06-11 02:04:20] Epoch 1 | architecture=[124, 124, 124, 124, 123, 123] train_loss=0.000879 val_loss=0.000233 best=0.000233 es=0/10
[2026-06-11 02:04:20] Epoch 1 | architecture=[124, 124, 124, 124, 123, 123] train_loss=0.001450 val_loss=0.000267 best=0.000267 es=0/10
[2026-06-11 02:04:20] Epoch 1 | architecture=[124, 124, 124, 124, 123, 123] train_loss=0.001150 val_loss=0.000236 best=0.000236 es=0/10
[2026-06-11 02:04:20] Epoch 1 | architecture=[124, 124, 124, 124, 123, 123] train_loss=0.000765 val_loss=0.000608 best=0.000608 es=0/10
[2026-06-11 02:04:20] Epoch 1 | architecture=[124, 124, 124, 124, 123, 123] train_loss=0.000714 val_loss=0.000533 best=0.000533 es=0/10
[2026-06-11 02:04:21] Epoch 1 | architecture=[124, 124, 124, 124, 123, 123] train_loss=0.000622 val_loss=0.000185 best=0.000185 es=0/10
[2026-06-11 02:04:21] Epoch 1 | architecture=[124, 124, 124, 124, 123, 123] train_loss=0.001698 val_loss=0.000544 best=0.000544 es=0/10
[2026-06-11 02:04:21] Epoch 1 | architecture=[124, 124, 124, 124, 123, 123] train_loss=0.001936 val_loss=0.000348 best=0.000348 es=0/10
[2026-06-11 02:04:21] Epoch 1 | architecture=[124, 124, 124, 124, 123, 123] train_loss=0.000360 val_loss=0.000485 best=0.000485 es=0/10
[2026-06-11 02:04:21] Epoch 1 | architecture=[124, 124, 124, 124, 123, 123] train_loss=0.001327 val_loss=0.000608 best=0.000608 es=0/10
