[2026-06-11 00:46:08] Initialized ContinuousLogger for MLPS.tabular.shared.dae_dnn.adp_search (Mode: width_to_depth)
[2026-06-11 00:46:08] Logs: MLPS/tabular/shared/dae_dnn/results/adp/w2d/repeat4_plus_sim_pred5_v1/repeat_01/simulation/cand_075_d2_w49/training_log.txt
[2026-06-11 00:46:08] CSV: MLPS/tabular/shared/dae_dnn/results/adp/w2d/repeat4_plus_sim_pred5_v1/repeat_01/simulation/cand_075_d2_w49/training_stats.csv
[2026-06-11 00:46:08] Epoch 1 | architecture=[49, 27] train_loss=0.012130 val_loss=0.014347 best=0.014347 es=0/10
[2026-06-11 00:46:08] Epoch 1 | architecture=[49, 27] train_loss=0.006226 val_loss=0.014971 best=0.014971 es=0/10
[2026-06-11 00:46:08] Epoch 1 | architecture=[49, 27] train_loss=0.006084 val_loss=0.016409 best=0.016409 es=0/10
[2026-06-11 00:46:09] Epoch 1 | architecture=[49, 27] train_loss=0.006537 val_loss=0.016208 best=0.016208 es=0/10
[2026-06-11 00:46:09] Epoch 1 | architecture=[49, 27] train_loss=0.005843 val_loss=0.015445 best=0.015445 es=0/10
[2026-06-11 00:46:09] Epoch 1 | architecture=[49, 27] train_loss=0.005203 val_loss=0.010418 best=0.010418 es=0/10
[2026-06-11 00:46:09] Epoch 1 | architecture=[49, 27] train_loss=0.004592 val_loss=0.005742 best=0.005742 es=0/10
[2026-06-11 00:46:09] Epoch 1 | architecture=[49, 27] train_loss=0.004639 val_loss=0.004941 best=0.004941 es=0/10
[2026-06-11 00:46:10] Epoch 1 | architecture=[49, 27] train_loss=0.005205 val_loss=0.004913 best=0.004913 es=0/10
[2026-06-11 00:46:10] Epoch 1 | architecture=[49, 27] train_loss=0.004200 val_loss=0.006181 best=0.006181 es=0/10
[2026-06-11 00:46:10] Epoch 1 | architecture=[49, 27] train_loss=0.004605 val_loss=0.007673 best=0.007673 es=0/10
[2026-06-11 00:46:10] Epoch 1 | architecture=[49, 27] train_loss=0.004940 val_loss=0.007637 best=0.007637 es=0/10
[2026-06-11 00:46:10] Epoch 1 | architecture=[49, 27] train_loss=0.005984 val_loss=0.007368 best=0.007368 es=0/10
[2026-06-11 00:46:11] Epoch 1 | architecture=[49, 27] train_loss=0.007984 val_loss=0.006506 best=0.006506 es=0/10
[2026-06-11 00:46:11] Epoch 1 | architecture=[49, 27] train_loss=0.003461 val_loss=0.006422 best=0.006422 es=0/10
[2026-06-11 00:46:11] Epoch 1 | architecture=[49, 27] train_loss=0.004784 val_loss=0.006097 best=0.006097 es=0/10
[2026-06-11 00:46:11] Epoch 1 | architecture=[49, 27] train_loss=0.003727 val_loss=0.005127 best=0.005127 es=0/10
[2026-06-11 00:46:11] Epoch 1 | architecture=[49, 27] train_loss=0.004550 val_loss=0.004595 best=0.004595 es=0/10
[2026-06-11 00:46:12] Epoch 1 | architecture=[49, 27] train_loss=0.003956 val_loss=0.004661 best=0.004661 es=0/10
[2026-06-11 00:46:12] Epoch 1 | architecture=[49, 27] train_loss=0.003725 val_loss=0.004924 best=0.004924 es=0/10
[2026-06-11 00:46:12] Epoch 1 | architecture=[49, 27] train_loss=0.003699 val_loss=0.005718 best=0.005718 es=0/10
[2026-06-11 00:46:12] Epoch 1 | architecture=[49, 27] train_loss=0.004048 val_loss=0.006243 best=0.006243 es=0/10
[2026-06-11 00:46:13] Epoch 1 | architecture=[49, 27] train_loss=0.003552 val_loss=0.005731 best=0.005731 es=0/10
[2026-06-11 00:46:13] Epoch 1 | architecture=[49, 27] train_loss=0.004747 val_loss=0.005147 best=0.005147 es=0/10
[2026-06-11 00:46:13] Epoch 1 | architecture=[49, 27] train_loss=0.005168 val_loss=0.004897 best=0.004897 es=0/10
[2026-06-11 00:46:13] Epoch 1 | architecture=[49, 27] train_loss=0.004871 val_loss=0.005340 best=0.005340 es=0/10
[2026-06-11 00:46:14] Epoch 1 | architecture=[49, 27] train_loss=0.004349 val_loss=0.005293 best=0.005293 es=0/10
[2026-06-11 00:46:14] Epoch 1 | architecture=[49, 27] train_loss=0.003300 val_loss=0.004798 best=0.004798 es=0/10
