[2026-06-14 02:11:28] Initialized ContinuousLogger for MLPS.tabular.shared.dae_dnn.adp_search (Mode: width_to_depth)
[2026-06-14 02:11:28] Logs: MLPS/tabular/shared/dae_dnn/results/adp/w2d/main_without_denoising_v1/repeat_03/simulation/cand_174_d3_w81/training_log.txt
[2026-06-14 02:11:28] CSV: MLPS/tabular/shared/dae_dnn/results/adp/w2d/main_without_denoising_v1/repeat_03/simulation/cand_174_d3_w81/training_stats.csv
[2026-06-14 02:11:28] Epoch 1 | architecture=[81, 81, 13] train_loss=0.031006 val_loss=0.028347 best=0.028347 es=0/10
[2026-06-14 02:11:28] Epoch 1 | architecture=[81, 81, 13] train_loss=0.013150 val_loss=0.015549 best=0.015549 es=0/10
[2026-06-14 02:11:29] Epoch 1 | architecture=[81, 81, 13] train_loss=0.006739 val_loss=0.009663 best=0.009663 es=0/10
[2026-06-14 02:11:29] Epoch 1 | architecture=[81, 81, 13] train_loss=0.005351 val_loss=0.011079 best=0.011079 es=0/10
[2026-06-14 02:11:29] Epoch 1 | architecture=[81, 81, 13] train_loss=0.004879 val_loss=0.016988 best=0.016988 es=0/10
[2026-06-14 02:11:30] Epoch 1 | architecture=[81, 81, 13] train_loss=0.003381 val_loss=0.015684 best=0.015684 es=0/10
[2026-06-14 02:11:30] Epoch 1 | architecture=[81, 81, 13] train_loss=0.003603 val_loss=0.009736 best=0.009736 es=0/10
[2026-06-14 02:11:30] Epoch 1 | architecture=[81, 81, 13] train_loss=0.003952 val_loss=0.006971 best=0.006971 es=0/10
[2026-06-14 02:11:30] Epoch 1 | architecture=[81, 81, 13] train_loss=0.003104 val_loss=0.005830 best=0.005830 es=0/10
[2026-06-14 02:11:31] Epoch 1 | architecture=[81, 81, 13] train_loss=0.002681 val_loss=0.007014 best=0.007014 es=0/10
[2026-06-14 02:11:31] Epoch 1 | architecture=[81, 81, 13] train_loss=0.002585 val_loss=0.007485 best=0.007485 es=0/10
[2026-06-14 02:11:31] Epoch 1 | architecture=[81, 81, 13] train_loss=0.001933 val_loss=0.004362 best=0.004362 es=0/10
[2026-06-14 02:11:32] Epoch 1 | architecture=[81, 81, 13] train_loss=0.003972 val_loss=0.002763 best=0.002763 es=0/10
[2026-06-14 02:11:32] Epoch 1 | architecture=[81, 81, 13] train_loss=0.003866 val_loss=0.002980 best=0.002980 es=0/10
[2026-06-14 02:11:32] Epoch 1 | architecture=[81, 81, 13] train_loss=0.002446 val_loss=0.002729 best=0.002729 es=0/10
[2026-06-14 02:11:33] Epoch 1 | architecture=[81, 81, 13] train_loss=0.003326 val_loss=0.001874 best=0.001874 es=0/10
[2026-06-14 02:11:33] Epoch 1 | architecture=[81, 81, 13] train_loss=0.003661 val_loss=0.002285 best=0.002285 es=0/10
[2026-06-14 02:11:33] Epoch 1 | architecture=[81, 81, 13] train_loss=0.002488 val_loss=0.002163 best=0.002163 es=0/10
[2026-06-14 02:11:33] Epoch 1 | architecture=[81, 81, 13] train_loss=0.001757 val_loss=0.001808 best=0.001808 es=0/10
[2026-06-14 02:11:34] Epoch 1 | architecture=[81, 81, 13] train_loss=0.001672 val_loss=0.002025 best=0.002025 es=0/10
[2026-06-14 02:11:34] Epoch 1 | architecture=[81, 81, 13] train_loss=0.001815 val_loss=0.001685 best=0.001685 es=0/10
[2026-06-14 02:11:34] Epoch 1 | architecture=[81, 81, 13] train_loss=0.002684 val_loss=0.001812 best=0.001812 es=0/10
[2026-06-14 02:11:35] Epoch 1 | architecture=[81, 81, 13] train_loss=0.003352 val_loss=0.001747 best=0.001747 es=0/10
[2026-06-14 02:11:35] Epoch 1 | architecture=[81, 81, 13] train_loss=0.001701 val_loss=0.001744 best=0.001744 es=0/10
[2026-06-14 02:11:35] Epoch 1 | architecture=[81, 81, 13] train_loss=0.002206 val_loss=0.001710 best=0.001710 es=0/10
[2026-06-14 02:11:35] Epoch 1 | architecture=[81, 81, 13] train_loss=0.001443 val_loss=0.001773 best=0.001773 es=0/10
[2026-06-14 02:11:36] Epoch 1 | architecture=[81, 81, 13] train_loss=0.001649 val_loss=0.001792 best=0.001792 es=0/10
[2026-06-14 02:11:36] Epoch 1 | architecture=[81, 81, 13] train_loss=0.001222 val_loss=0.001623 best=0.001623 es=0/10
[2026-06-14 02:11:37] Epoch 1 | architecture=[81, 81, 13] train_loss=0.002746 val_loss=0.001670 best=0.001670 es=0/10
[2026-06-14 02:11:37] Epoch 1 | architecture=[81, 81, 13] train_loss=0.001872 val_loss=0.002043 best=0.002043 es=0/10
[2026-06-14 02:11:37] Epoch 1 | architecture=[81, 81, 13] train_loss=0.001587 val_loss=0.001755 best=0.001755 es=0/10
