task,depth,candidate_index,width,architecture,parameter_count,log10_parameter_count,selected_for_run
denoising,2,6,6,"[6, 6]",774,2.888741,True
denoising,2,7,7,"[7, 7]",901,2.954725,True
denoising,2,8,8,"[8, 8]",1030,3.012837,True
denoising,2,9,15,"[15, 15]",1989,3.298635,True
denoising,2,10,22,"[22, 22]",3046,3.48373,True
denoising,2,11,28,"[28, 28]",4030,3.605305,True
denoising,2,12,34,"[34, 34]",5086,3.706376,True
denoising,2,13,39,"[39, 39]",6021,3.779669,True
denoising,2,14,44,"[44, 44]",7006,3.84547,True
denoising,2,15,49,"[49, 49]",8041,3.90531,True
denoising,2,16,53,"[53, 53]",8905,3.949634,True
denoising,2,17,58,"[58, 58]",10030,4.001301,True
denoising,2,18,95,"[95, 95]",19909,4.299049,True
denoising,2,19,125,"[125, 125]",29929,4.476092,True
denoising,2,20,151,"[151, 151]",40069,4.602809,True
denoising,2,21,174,"[174, 174]",50166,4.700409,True
denoising,2,22,194,"[194, 194]",59806,4.776745,True
denoising,2,23,214,"[214, 214]",70246,4.846622,True
denoising,2,24,231,"[231, 231]",79749,4.901725,True
denoising,2,25,248,"[248, 248]",89830,4.953421,True
denoising,2,26,264,"[264, 264]",99846,4.999331,True
denoising,2,27,394,"[394, 394]",200206,5.301477,True
denoising,2,28,494,"[494, 494]",300406,5.477709,True
denoising,2,29,578,"[578, 578]",400030,5.602093,True
denoising,2,30,652,"[652, 652]",499486,5.698523,True
denoising,2,31,720,"[720, 720]",600534,5.778538,True
denoising,2,32,782,"[782, 782]",700726,5.845548,True
denoising,2,33,839,"[839, 839]",799621,5.902884,True
denoising,2,34,893,"[893, 893]",899305,5.953907,True
denoising,2,35,945,"[945, 945]",1000809,6.000351,True
denoising,2,36,1358,"[1358, 1358]",1999030,6.300819,True
denoising,2,37,1676,"[1676, 1676]",3000094,6.477135,True
denoising,2,38,1944,"[1944, 1944]",4000806,6.602147,True
denoising,2,39,2180,"[2180, 2180]",5000974,6.699055,True
denoising,2,40,2393,"[2393, 2393]",5999305,6.778101,True
denoising,2,41,2589,"[2589, 2589]",6998121,6.844981,True
denoising,2,42,2772,"[2772, 2772]",8000046,6.903092,True
denoising,2,43,2944,"[2944, 2944]",9002806,6.954378,True
denoising,2,44,3106,"[3106, 3106]",10001374,7.00006,True
denoising,2,45,4415,"[4415, 4415]",19995589,7.300934,True
denoising,2,46,5421,"[5421, 5421]",30005289,7.477198,True
denoising,2,47,6268,"[6268, 6268]",40002430,7.602086,True
denoising,2,48,7014,"[7014, 7014]",49995846,7.698934,True
denoising,2,49,7689,"[7689, 7689]",59997321,7.778132,True
denoising,2,50,8310,"[8310, 8310]",70003494,7.84512,True
denoising,2,51,8887,"[8887, 8887]",79991941,7.903046,True
denoising,2,52,9430,"[9430, 9430]",89999974,7.954242,True
denoising,2,53,9943,"[9943, 9943]",99996805,7.999986,True
denoising,2,54,10512,"[10512, 10512]",111700566,8.048055,True
denoising,2,55,11052,"[11052, 11052]",123406686,8.091339,True
denoising,2,56,11567,"[11567, 11567]",135114181,8.130701,True
denoising,2,57,12060,"[12060, 12060]",146818494,8.166781,True
denoising,2,58,12533,"[12533, 12533]",158504905,8.200043,True
denoising,2,59,12990,"[12990, 12990]",170221014,8.231013,True
denoising,2,60,13431,"[13431, 13431]",181922949,8.259887,True
denoising,2,61,13858,"[13858, 13858]",193624030,8.286959,True
denoising,2,62,14272,"[14272, 14272]",205317046,8.312425,True
denoising,3,1,1,"[1, 1, 1]",173,2.238046,True
denoising,3,2,2,"[2, 2, 2]",296,2.471292,True
denoising,3,3,3,"[3, 3, 3]",423,2.62634,True
denoising,3,4,4,"[4, 4, 4]",554,2.74351,True
denoising,3,5,5,"[5, 5, 5]",689,2.838219,True
denoising,3,6,6,"[6, 6, 6]",828,2.91803,True
denoising,3,7,7,"[7, 7, 7]",971,2.987219,True
denoising,3,8,14,"[14, 14, 14]",2084,3.318898,True
denoising,3,9,19,"[19, 19, 19]",2999,3.476976,True
denoising,3,10,24,"[24, 24, 24]",4014,3.603577,True
denoising,3,11,28,"[28, 28, 28]",4898,3.690019,True
denoising,3,12,33,"[33, 33, 33]",6093,3.784831,True
denoising,3,13,37,"[37, 37, 37]",7121,3.852541,True
denoising,3,14,40,"[40, 40, 40]",7934,3.899492,True
denoising,3,15,44,"[44, 44, 44]",9074,3.957799,True
denoising,3,16,47,"[47, 47, 47]",9971,3.998739,True
denoising,3,17,75,"[75, 75, 75]",20079,4.302742,True
denoising,3,18,97,"[97, 97, 97]",30221,4.480309,True
denoising,3,19,115,"[115, 115, 115]",39959,4.601615,True
denoising,3,20,131,"[131, 131, 131]",49703,4.696383,True
denoising,3,21,146,"[146, 146, 146]",59768,4.776469,True
denoising,3,22,160,"[160, 160, 160]",69974,4.844937,True
denoising,3,23,173,"[173, 173, 173]",80153,4.90392,True
denoising,3,24,185,"[185, 185, 185]",90149,4.954961,True
denoising,3,25,196,"[196, 196, 196]",99818,4.999209,True
denoising,3,26,288,"[288, 288, 288]",199638,5.300243,True
denoising,3,27,359,"[359, 359, 359]",299819,5.476859,True
denoising,3,28,419,"[419, 419, 419]",400199,5.602276,True
denoising,3,29,472,"[472, 472, 472]",500846,5.699704,True
denoising,3,30,519,"[519, 519, 519]",599499,5.777788,True
denoising,3,31,563,"[563, 563, 563]",699863,5.845013,True
denoising,3,32,604,"[604, 604, 604]",800354,5.903282,True
denoising,3,33,642,"[642, 642, 642]",899496,5.953999,True
denoising,3,34,678,"[678, 678, 678]",998748,5.999456,True
denoising,3,35,971,"[971, 971, 971]",1999343,6.300887,True
denoising,3,36,1196,"[1196, 1196, 1196]",3000818,6.47724,True
denoising,3,37,1385,"[1385, 1385, 1385]",3998549,6.601902,True
denoising,3,38,1552,"[1552, 1552, 1552]",4999046,6.698887,True
denoising,3,39,1703,"[1703, 1703, 1703]",5999723,6.778131,True
denoising,3,40,1842,"[1842, 1842, 1842]",7001496,6.845191,True
denoising,3,41,1971,"[1971, 1971, 1971]",8000343,6.903109,True
denoising,3,42,2092,"[2092, 2092, 2092]",8997746,6.954134,True
denoising,3,43,2207,"[2207, 2207, 2207]",9999971,6.999999,True
denoising,3,44,3133,"[3133, 3133, 3133]",19997993,7.300986,True
denoising,3,45,3844,"[3844, 3844, 3844]",30002474,7.477157,True
denoising,3,46,4443,"[4443, 4443, 4443]",40000383,7.602064,True
denoising,3,47,4971,"[4971, 4971, 4971]",50003343,7.698999,True
denoising,3,48,5448,"[5448, 5448, 5448]",59998878,7.778143,True
denoising,3,49,5887,"[5887, 5887, 5887]",70002371,7.845113,True
denoising,3,50,6295,"[6295, 6295, 6295]",79990619,7.903039,True
denoising,3,51,6679,"[6679, 6679, 6679]",89999579,7.95424,True
denoising,3,52,7042,"[7042, 7042, 7042]",100003496,8.000015,True
denoising,3,53,7514,"[7514, 7514, 7514]",113799584,8.056141,True
denoising,3,54,7959,"[7959, 7959, 7959]",127622619,8.105928,True
denoising,3,55,8380,"[8380, 8380, 8380]",141429314,8.150539,True
denoising,3,56,8781,"[8781, 8781, 8781]",155239353,8.191002,True
denoising,3,57,9164,"[9164, 9164, 9164]",169030034,8.227964,True
denoising,3,58,9532,"[9532, 9532, 9532]",182833346,8.262055,True
denoising,3,59,9887,"[9887, 9887, 9887]",196662371,8.293721,True
denoising,3,60,10229,"[10229, 10229, 10229]",210461729,8.323173,True
denoising,3,61,10560,"[10560, 10560, 10560]",224262774,8.350757,True
denoising,4,1,1,"[1, 1, 1, 1]",177,2.247973,True
denoising,4,2,2,"[2, 2, 2, 2]",306,2.485721,True
denoising,4,3,3,"[3, 3, 3, 3]",441,2.644439,True
denoising,4,4,4,"[4, 4, 4, 4]",582,2.764923,True
denoising,4,5,5,"[5, 5, 5, 5]",729,2.862728,True
denoising,4,6,6,"[6, 6, 6, 6]",882,2.945469,True
denoising,4,7,7,"[7, 7, 7, 7]",1041,3.017451,True
denoising,4,8,12,"[12, 12, 12, 12]",1926,3.284656,True
denoising,4,9,17,"[17, 17, 17, 17]",2961,3.471438,True
denoising,4,10,21,"[21, 21, 21, 21]",3897,3.59073,True
denoising,4,11,25,"[25, 25, 25, 25]",4929,3.692759,True
denoising,4,12,29,"[29, 29, 29, 29]",6057,3.782258,True
denoising,4,13,32,"[32, 32, 32, 32]",6966,3.842983,True
denoising,4,14,35,"[35, 35, 35, 35]",7929,3.899218,True
denoising,4,15,38,"[38, 38, 38, 38]",8946,3.951629,True
denoising,4,16,41,"[41, 41, 41, 41]",10017,4.000738,True
denoising,4,17,64,"[64, 64, 64, 64]",20022,4.301507,True
denoising,4,18,82,"[82, 82, 82, 82]",30066,4.478076,True
denoising,4,19,97,"[97, 97, 97, 97]",39921,4.601201,True
denoising,4,20,111,"[111, 111, 111, 111]",50337,4.701887,True
denoising,4,21,123,"[123, 123, 123, 123]",60201,4.779604,True
denoising,4,22,134,"[134, 134, 134, 134]",70002,4.84511,True
denoising,4,23,144,"[144, 144, 144, 144]",79542,4.900597,True
denoising,4,24,154,"[154, 154, 154, 154]",89682,4.952705,True
denoising,4,25,164,"[164, 164, 164, 164]",100422,5.001829,True
denoising,4,26,239,"[239, 239, 239, 239]",200097,5.301241,True
denoising,4,27,297,"[297, 297, 297, 297]",300321,5.477586,True
denoising,4,28,346,"[346, 346, 346, 346]",400722,5.602843,True
denoising,4,29,389,"[389, 389, 389, 389]",500697,5.699575,True
denoising,4,30,428,"[428, 428, 428, 428]",600966,5.77885,True
denoising,4,31,463,"[463, 463, 463, 463]",698721,5.844304,True
denoising,4,32,497,"[497, 497, 497, 497]",800721,5.903481,True
denoising,4,33,528,"[528, 528, 528, 528]",899766,5.95413,True
denoising,4,34,558,"[558, 558, 558, 558]",1001106,6.00048,True
denoising,4,35,797,"[797, 797, 797, 797]",2001321,6.301317,True
denoising,4,36,980,"[980, 980, 980, 980]",2998854,6.476955,True
denoising,4,37,1135,"[1135, 1135, 1135, 1135]",4000929,6.602161,True
denoising,4,38,1271,"[1271, 1271, 1271, 1271]",4998897,6.698874,True
denoising,4,39,1394,"[1394, 1394, 1394, 1394]",5997042,6.777937,True
denoising,4,40,1508,"[1508, 1508, 1508, 1508]",7003206,6.845297,True
denoising,4,41,1613,"[1613, 1613, 1613, 1613]",7998921,6.903031,True
denoising,4,42,1712,"[1712, 1712, 1712, 1712]",8998326,6.954162,True
denoising,4,43,1806,"[1806, 1806, 1806, 1806]",10001682,7.000073,True
denoising,4,44,2562,"[2562, 2562, 2562, 2562]",19999026,7.301009,True
denoising,4,45,3142,"[3142, 3142, 3142, 3142]",29993586,7.477028,True
denoising,4,46,3632,"[3632, 3632, 3632, 3632]",40010166,7.60217,True
denoising,4,47,4063,"[4063, 4063, 4063, 4063]",50011521,7.69907,True
denoising,4,48,4452,"[4452, 4452, 4452, 4452]",59995206,7.778117,True
denoising,4,49,4810,"[4810, 4810, 4810, 4810]",69985554,7.845008,True
denoising,4,50,5144,"[5144, 5144, 5144, 5144]",79999542,7.903088,True
denoising,4,51,5457,"[5457, 5457, 5457, 5457]",89991441,7.954201,True
denoising,4,52,5754,"[5754, 5754, 5754, 5754]",100016082,8.00007,True
denoising,4,53,6131,"[6131, 6131, 6131, 6131]",113503257,8.055008,True
denoising,4,54,6487,"[6487, 6487, 6487, 6487]",127022001,8.103879,True
denoising,4,55,6825,"[6825, 6825, 6825, 6825]",140560929,8.147865,True
denoising,4,56,7147,"[7147, 7147, 7147, 7147]",154096521,8.187793,True
denoising,4,57,7454,"[7454, 7454, 7454, 7454]",167580882,8.224224,True
denoising,4,58,7750,"[7750, 7750, 7750, 7750]",181117554,8.257961,True
denoising,4,59,8035,"[8035, 8035, 8035, 8035]",194647929,8.28925,True
denoising,4,60,8310,"[8310, 8310, 8310, 8310]",208165554,8.318409,True
denoising,4,61,8576,"[8576, 8576, 8576, 8576]",221672502,8.345712,True
denoising,5,1,1,"[1, 1, 1, 1, 1]",181,2.257679,True
denoising,5,2,2,"[2, 2, 2, 2, 2]",316,2.499687,True
denoising,5,3,3,"[3, 3, 3, 3, 3]",459,2.661813,True
denoising,5,4,4,"[4, 4, 4, 4, 4]",610,2.78533,True
denoising,5,5,5,"[5, 5, 5, 5, 5]",769,2.885926,True
denoising,5,6,6,"[6, 6, 6, 6, 6]",936,2.971276,True
denoising,5,7,12,"[12, 12, 12, 12, 12]",2106,3.323458,True
denoising,5,8,16,"[16, 16, 16, 16, 16]",3046,3.48373,True
denoising,5,9,20,"[20, 20, 20, 20, 20]",4114,3.614264,True
denoising,5,10,23,"[23, 23, 23, 23, 23]",4999,3.698883,True
denoising,5,11,26,"[26, 26, 26, 26, 26]",5956,3.774955,True
denoising,5,12,29,"[29, 29, 29, 29, 29]",6985,3.844166,True
denoising,5,13,32,"[32, 32, 32, 32, 32]",8086,3.907734,True
denoising,5,14,34,"[34, 34, 34, 34, 34]",8860,3.947434,True
denoising,5,15,37,"[37, 37, 37, 37, 37]",10081,4.003504,True
denoising,5,16,57,"[57, 57, 57, 57, 57]",20061,4.302353,True
denoising,5,17,73,"[73, 73, 73, 73, 73]",30349,4.482144,True
denoising,5,18,86,"[86, 86, 86, 86, 86]",40216,4.604399,True
denoising,5,19,97,"[97, 97, 97, 97, 97]",49621,4.695666,True
denoising,5,20,108,"[108, 108, 108, 108, 108]",59994,4.778108,True
denoising,5,21,118,"[118, 118, 118, 118, 118]",70264,4.846733,True
denoising,5,22,127,"[127, 127, 127, 127, 127]",80191,4.904126,True
denoising,5,23,135,"[135, 135, 135, 135, 135]",89559,4.952109,True
denoising,5,24,143,"[143, 143, 143, 143, 143]",99439,4.997557,True
denoising,5,25,209,"[209, 209, 209, 209, 209]",200485,5.302082,True
denoising,5,26,259,"[259, 259, 259, 259, 259]",300235,5.477461,True
denoising,5,27,301,"[301, 301, 301, 301, 301]",399481,5.601496,True
denoising,5,28,338,"[338, 338, 338, 338, 338]",498604,5.697756,True
denoising,5,29,372,"[372, 372, 372, 372, 372]",599346,5.777678,True
denoising,5,30,403,"[403, 403, 403, 403, 403]",699259,5.844638,True
denoising,5,31,432,"[432, 432, 432, 432, 432]",799686,5.902919,True
denoising,5,32,459,"[459, 459, 459, 459, 459]",899235,5.953873,True
denoising,5,33,485,"[485, 485, 485, 485, 485]",1000609,6.000264,True
denoising,5,34,692,"[692, 692, 692, 692, 692]",2000626,6.301166,True
denoising,5,35,851,"[851, 851, 851, 851, 851]",3001531,6.477343,True
denoising,5,36,985,"[985, 985, 985, 985, 985]",4002109,6.602289,True
denoising,5,37,1103,"[1103, 1103, 1103, 1103, 1103]",5002159,6.699157,True
denoising,5,38,1209,"[1209, 1209, 1209, 1209, 1209]",5995485,6.777824,True
denoising,5,39,1308,"[1308, 1308, 1308, 1308, 1308]",7004394,6.845371,True
denoising,5,40,1399,"[1399, 1399, 1399, 1399, 1399]",8000935,6.903141,True
denoising,5,41,1485,"[1485, 1485, 1485, 1485, 1485]",9003609,6.954417,True
denoising,5,42,1566,"[1566, 1566, 1566, 1566, 1566]",10002096,7.000091,True
denoising,5,43,2221,"[2221, 2221, 2221, 2221, 2221]",20004601,7.30113,True
denoising,5,44,2723,"[2723, 2723, 2723, 2723, 2723]",29993899,7.477033,True
denoising,5,45,3147,"[3147, 3147, 3147, 3147, 3147]",40001571,7.602077,True
denoising,5,46,3520,"[3520, 3520, 3520, 3520, 3520]",49994614,7.698923,True
denoising,5,47,3858,"[3858, 3858, 3858, 3858, 3858]",60011244,7.778233,True
denoising,5,48,4168,"[4168, 4168, 4168, 4168, 4168]",70001614,7.845108,True
denoising,5,49,4457,"[4457, 4457, 4457, 4457, 4457]",80007661,7.903132,True
denoising,5,50,4728,"[4728, 4728, 4728, 4728, 4728]",89997534,7.954231,True
denoising,5,51,4985,"[4985, 4985, 4985, 4985, 4985]",100014109,8.000061,True
denoising,5,52,5291,"[5291, 5291, 5291, 5291, 5291]",112629571,8.051652,True
denoising,5,53,5581,"[5581, 5581, 5581, 5581, 5581]",125276761,8.097871,True
denoising,5,54,5857,"[5857, 5857, 5857, 5857, 5857]",137938261,8.139685,True
denoising,5,55,6120,"[6120, 6120, 6120, 6120, 6120]",150570414,8.17774,True
denoising,5,56,6373,"[6373, 6373, 6373, 6373, 6373]",163244449,8.212838,True
denoising,5,57,6616,"[6616, 6616, 6616, 6616, 6616]",175899646,8.245265,True
denoising,5,58,6850,"[6850, 6850, 6850, 6850, 6850]",188532604,8.275386,True
denoising,5,59,7076,"[7076, 7076, 7076, 7076, 7076]",201149506,8.303519,True
denoising,5,60,7296,"[7296, 7296, 7296, 7296, 7296]",213823926,8.330056,True
denoising,6,1,1,"[1, 1, 1, 1, 1, 1]",185,2.267172,True
denoising,6,2,2,"[2, 2, 2, 2, 2, 2]",326,2.513218,True
denoising,6,3,3,"[3, 3, 3, 3, 3, 3]",477,2.678518,True
denoising,6,4,4,"[4, 4, 4, 4, 4, 4]",638,2.804821,True
denoising,6,5,5,"[5, 5, 5, 5, 5, 5]",809,2.907949,True
denoising,6,6,6,"[6, 6, 6, 6, 6, 6]",990,2.995635,True
denoising,6,7,11,"[11, 11, 11, 11, 11, 11]",2045,3.310693,True
denoising,6,8,15,"[15, 15, 15, 15, 15, 15]",3069,3.486997,True
denoising,6,9,18,"[18, 18, 18, 18, 18, 18]",3942,3.595717,True
denoising,6,10,21,"[21, 21, 21, 21, 21, 21]",4905,3.690639,True
denoising,6,11,24,"[24, 24, 24, 24, 24, 24]",5958,3.7751,True
denoising,6,12,27,"[27, 27, 27, 27, 27, 27]",7101,3.85132,True
denoising,6,13,29,"[29, 29, 29, 29, 29, 29]",7913,3.898341,True
denoising,6,14,32,"[32, 32, 32, 32, 32, 32]",9206,3.964071,True
denoising,6,15,34,"[34, 34, 34, 34, 34, 34]",10118,4.005095,True
denoising,6,16,52,"[52, 52, 52, 52, 52, 52]",20126,4.303757,True
denoising,6,17,66,"[66, 66, 66, 66, 66, 66]",30150,4.479287,True
denoising,6,18,78,"[78, 78, 78, 78, 78, 78]",40302,4.605327,True
denoising,6,19,88,"[88, 88, 88, 88, 88, 88]",49862,4.69777,True
denoising,6,20,98,"[98, 98, 98, 98, 98, 98]",60422,4.781195,True
denoising,6,21,106,"[106, 106, 106, 106, 106, 106]",69590,4.842547,True
denoising,6,22,114,"[114, 114, 114, 114, 114, 114]",79398,4.89981,True
denoising,6,23,122,"[122, 122, 122, 122, 122, 122]",89846,4.953499,True
denoising,6,24,129,"[129, 129, 129, 129, 129, 129]",99513,4.99788,True
denoising,6,25,188,"[188, 188, 188, 188, 188, 188]",200462,5.302032,True
denoising,6,26,233,"[233, 233, 233, 233, 233, 233]",300857,5.47836,True
denoising,6,27,271,"[271, 271, 271, 271, 271, 271]",401405,5.603583,True
denoising,6,28,304,"[304, 304, 304, 304, 304, 304]",500438,5.69935,True
denoising,6,29,334,"[334, 334, 334, 334, 334, 334]",599918,5.778092,True
denoising,6,30,362,"[362, 362, 362, 362, 362, 362]",700886,5.845647,True
denoising,6,31,388,"[388, 388, 388, 388, 388, 388]",801662,5.903991,True
denoising,6,32,412,"[412, 412, 412, 412, 412, 412]",900686,5.954573,True
denoising,6,33,435,"[435, 435, 435, 435, 435, 435]",1000989,6.000429,True
denoising,6,34,620,"[620, 620, 620, 620, 620, 620]",2000174,6.301068,True
denoising,6,35,762,"[762, 762, 762, 762, 762, 762]",2999286,6.477018,True
denoising,6,36,882,"[882, 882, 882, 882, 882, 882]",4000806,6.602147,True
denoising,6,37,987,"[987, 987, 987, 987, 987, 987]",4995261,6.698558,True
denoising,6,38,1083,"[1083, 1083, 1083, 1083, 1083, 1083]",6000957,6.778221,True
denoising,6,39,1171,"[1171, 1171, 1171, 1171, 1171, 1171]",7003805,6.845334,True
denoising,6,40,1252,"[1252, 1252, 1252, 1252, 1252, 1252]",7995326,6.902836,True
denoising,6,41,1329,"[1329, 1329, 1329, 1329, 1329, 1329]",8998713,6.95418,True
denoising,6,42,1402,"[1402, 1402, 1402, 1402, 1402, 1402]",10004726,7.000205,True
denoising,6,43,1987,"[1987, 1987, 1987, 1987, 1987, 1987]",19991261,7.30084,True
denoising,6,44,2437,"[2437, 2437, 2437, 2437, 2437, 2437]",30001961,7.47715,True
denoising,6,45,2816,"[2816, 2816, 2816, 2816, 2816, 2816]",40004150,7.602105,True
denoising,6,46,3150,"[3150, 3150, 3150, 3150, 3150, 3150]",50009454,7.699052,True
denoising,6,47,3452,"[3452, 3452, 3452, 3452, 3452, 3452]",60016526,7.778271,True
denoising,6,48,3729,"[3729, 3729, 3729, 3729, 3729, 3729]",69997113,7.84508,True
denoising,6,49,3987,"[3987, 3987, 3987, 3987, 3987, 3987]",79983261,7.902999,True
denoising,6,50,4230,"[4230, 4230, 4230, 4230, 4230, 4230]",89997534,7.954231,True
denoising,6,51,4460,"[4460, 4460, 4460, 4460, 4460, 4460]",100020014,8.000087,True
denoising,6,52,4715,"[4715, 4715, 4715, 4715, 4715, 4715]",111750269,8.048249,True
denoising,6,53,4957,"[4957, 4957, 4957, 4957, 4957, 4957]",123483881,8.09161,True
denoising,6,54,5187,"[5187, 5187, 5187, 5187, 5187, 5187]",135178461,8.130907,True
denoising,6,55,5408,"[5408, 5408, 5408, 5408, 5408, 5408]",146913782,8.167063,True
denoising,6,56,5621,"[5621, 5621, 5621, 5621, 5621, 5621]",158686505,8.20054,True
denoising,6,57,5825,"[5825, 5825, 5825, 5825, 5825, 5825]",170387129,8.231437,True
denoising,6,58,6023,"[6023, 6023, 6023, 6023, 6023, 6023]",182141597,8.260409,True
denoising,6,59,6214,"[6214, 6214, 6214, 6214, 6214, 6214]",193851998,8.28747,True
denoising,6,60,6400,"[6400, 6400, 6400, 6400, 6400, 6400]",205606454,8.313037,True
denoising,7,1,1,"[1, 1, 1, 1, 1, 1, 1]",189,2.276462,True
denoising,7,2,2,"[2, 2, 2, 2, 2, 2, 2]",336,2.526339,True
denoising,7,3,3,"[3, 3, 3, 3, 3, 3, 3]",495,2.694605,True
denoising,7,4,4,"[4, 4, 4, 4, 4, 4, 4]",666,2.823474,True
denoising,7,5,5,"[5, 5, 5, 5, 5, 5, 5]",849,2.928908,True
denoising,7,6,6,"[6, 6, 6, 6, 6, 6, 6]",1044,3.0187,True
denoising,7,7,10,"[10, 10, 10, 10, 10, 10, 10]",1944,3.288696,True
denoising,7,8,14,"[14, 14, 14, 14, 14, 14, 14]",3036,3.482302,True
denoising,7,9,17,"[17, 17, 17, 17, 17, 17, 17]",3981,3.599992,True
denoising,7,10,20,"[20, 20, 20, 20, 20, 20, 20]",5034,3.701913,True
denoising,7,11,23,"[23, 23, 23, 23, 23, 23, 23]",6195,3.792041,True
denoising,7,12,25,"[25, 25, 25, 25, 25, 25, 25]",7029,3.846894,True
denoising,7,13,27,"[27, 27, 27, 27, 27, 27, 27]",7911,3.898231,True
denoising,7,14,29,"[29, 29, 29, 29, 29, 29, 29]",8841,3.946501,True
denoising,7,15,31,"[31, 31, 31, 31, 31, 31, 31]",9819,3.992067,True
denoising,7,16,48,"[48, 48, 48, 48, 48, 48, 48]",20070,4.302547,True
denoising,7,17,61,"[61, 61, 61, 61, 61, 61, 61]",30249,4.480711,True
denoising,7,18,72,"[72, 72, 72, 72, 72, 72, 72]",40446,4.606876,True
denoising,7,19,81,"[81, 81, 81, 81, 81, 81, 81]",49869,4.697831,True
denoising,7,20,90,"[90, 90, 90, 90, 90, 90, 90]",60264,4.780058,True
denoising,7,21,98,"[98, 98, 98, 98, 98, 98, 98]",70320,4.847079,True
denoising,7,22,105,"[105, 105, 105, 105, 105, 105, 105]",79749,4.901725,True
denoising,7,23,112,"[112, 112, 112, 112, 112, 112, 112]",89766,4.953112,True
denoising,7,24,119,"[119, 119, 119, 119, 119, 119, 119]",100371,5.001608,True
denoising,7,25,172,"[172, 172, 172, 172, 172, 172, 172]",199746,5.300478,True
denoising,7,26,213,"[213, 213, 213, 213, 213, 213, 213]",299745,5.476752,True
denoising,7,27,248,"[248, 248, 248, 248, 248, 248, 248]",401070,5.60322,True
denoising,7,28,278,"[278, 278, 278, 278, 278, 278, 278]",499620,5.69864,True
denoising,7,29,306,"[306, 306, 306, 306, 306, 306, 306]",601344,5.779123,True
denoising,7,30,331,"[331, 331, 331, 331, 331, 331, 331]",700119,5.845172,True
denoising,7,31,355,"[355, 355, 355, 355, 355, 355, 355]",801999,5.904174,True
denoising,7,32,377,"[377, 377, 377, 377, 377, 377, 377]",901461,5.954947,True
denoising,7,33,398,"[398, 398, 398, 398, 398, 398, 398]",1001820,6.00079,True
denoising,7,34,567,"[567, 567, 567, 567, 567, 567, 567]",2002131,6.301492,True
denoising,7,35,696,"[696, 696, 696, 696, 696, 696, 696]",2996334,6.47659,True
denoising,7,36,806,"[806, 806, 806, 806, 806, 806, 806]",4001844,6.60226,True
denoising,7,37,902,"[902, 902, 902, 902, 902, 902, 902]",4998036,6.698799,True
denoising,7,38,989,"[989, 989, 989, 989, 989, 989, 989]",5996361,6.777888,True
denoising,7,39,1069,"[1069, 1069, 1069, 1069, 1069, 1069, 1069]",6994521,6.844758,True
denoising,7,40,1144,"[1144, 1144, 1144, 1144, 1144, 1144, 1144]",8000046,6.903092,True
denoising,7,41,1214,"[1214, 1214, 1214, 1214, 1214, 1214, 1214]",8999436,6.954215,True
