[2026-06-14 03:40:46] Initialized ContinuousLogger for MLPS.tabular.shared.dae_dnn.adp_search (Mode: width_to_depth)
[2026-06-14 03:40:46] Logs: MLPS/tabular/shared/dae_dnn/results/adp/w2d/main_without_denoising_v1/repeat_03/simulation/cand_762_d7_w126/training_log.txt
[2026-06-14 03:40:46] CSV: MLPS/tabular/shared/dae_dnn/results/adp/w2d/main_without_denoising_v1/repeat_03/simulation/cand_762_d7_w126/training_stats.csv
[2026-06-14 03:40:46] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 7] train_loss=0.036879 val_loss=0.005756 best=0.005756 es=0/10
[2026-06-14 03:40:47] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 7] train_loss=0.028387 val_loss=0.012875 best=0.012875 es=0/10
[2026-06-14 03:40:47] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 7] train_loss=0.020925 val_loss=0.024672 best=0.024672 es=0/10
[2026-06-14 03:40:47] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 7] train_loss=0.006623 val_loss=0.038178 best=0.038178 es=0/10
[2026-06-14 03:40:48] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 7] train_loss=0.007194 val_loss=0.028449 best=0.028449 es=0/10
[2026-06-14 03:40:48] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 7] train_loss=0.006861 val_loss=0.017850 best=0.017850 es=0/10
[2026-06-14 03:40:48] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 7] train_loss=0.004725 val_loss=0.017336 best=0.017336 es=0/10
[2026-06-14 03:40:49] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 7] train_loss=0.003564 val_loss=0.013989 best=0.013989 es=0/10
[2026-06-14 03:40:49] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 7] train_loss=0.003311 val_loss=0.012242 best=0.012242 es=0/10
[2026-06-14 03:40:49] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 7] train_loss=0.002942 val_loss=0.012303 best=0.012303 es=0/10
[2026-06-14 03:40:50] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 7] train_loss=0.003909 val_loss=0.011972 best=0.011972 es=0/10
