[2026-06-13 20:34:09] Initialized ContinuousLogger for MLPS.tabular.shared.dae_dnn.adp_search (Mode: width_to_depth)
[2026-06-13 20:34:09] Logs: MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_05/simulation/cand_134_d2_w68/training_log.txt
[2026-06-13 20:34:09] CSV: MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_05/simulation/cand_134_d2_w68/training_stats.csv
[2026-06-13 20:34:09] Epoch 1 | architecture=[68, 67] train_loss=0.007500 val_loss=0.003881 best=0.003881 es=0/10
[2026-06-13 20:34:10] Epoch 1 | architecture=[68, 67] train_loss=0.003521 val_loss=0.005230 best=0.005230 es=0/10
[2026-06-13 20:34:10] Epoch 1 | architecture=[68, 67] train_loss=0.003820 val_loss=0.003244 best=0.003244 es=0/10
[2026-06-13 20:34:10] Epoch 1 | architecture=[68, 67] train_loss=0.002383 val_loss=0.003492 best=0.003492 es=0/10
[2026-06-13 20:34:10] Epoch 1 | architecture=[68, 67] train_loss=0.002934 val_loss=0.002535 best=0.002535 es=0/10
[2026-06-13 20:34:10] Epoch 1 | architecture=[68, 67] train_loss=0.002138 val_loss=0.002932 best=0.002932 es=0/10
[2026-06-13 20:34:11] Epoch 1 | architecture=[68, 67] train_loss=0.002475 val_loss=0.003487 best=0.003487 es=0/10
[2026-06-13 20:34:11] Epoch 1 | architecture=[68, 67] train_loss=0.002493 val_loss=0.003063 best=0.003063 es=0/10
[2026-06-13 20:34:11] Epoch 1 | architecture=[68, 67] train_loss=0.002769 val_loss=0.002511 best=0.002511 es=0/10
[2026-06-13 20:34:11] Epoch 1 | architecture=[68, 67] train_loss=0.002258 val_loss=0.002370 best=0.002370 es=0/10
[2026-06-13 20:34:11] Epoch 1 | architecture=[68, 67] train_loss=0.001796 val_loss=0.002668 best=0.002668 es=0/10
[2026-06-13 20:34:12] Epoch 1 | architecture=[68, 67] train_loss=0.001917 val_loss=0.003882 best=0.003882 es=0/10
[2026-06-13 20:34:12] Epoch 1 | architecture=[68, 67] train_loss=0.001842 val_loss=0.004361 best=0.004361 es=0/10
[2026-06-13 20:34:12] Epoch 1 | architecture=[68, 67] train_loss=0.002203 val_loss=0.002319 best=0.002319 es=0/10
[2026-06-13 20:34:12] Epoch 1 | architecture=[68, 67] train_loss=0.001657 val_loss=0.002282 best=0.002282 es=0/10
[2026-06-13 20:34:12] Epoch 1 | architecture=[68, 67] train_loss=0.001853 val_loss=0.002192 best=0.002192 es=0/10
[2026-06-13 20:34:12] Epoch 1 | architecture=[68, 67] train_loss=0.001647 val_loss=0.002631 best=0.002631 es=0/10
[2026-06-13 20:34:13] Epoch 1 | architecture=[68, 67] train_loss=0.003713 val_loss=0.002605 best=0.002605 es=0/10
[2026-06-13 20:34:13] Epoch 1 | architecture=[68, 67] train_loss=0.002816 val_loss=0.002611 best=0.002611 es=0/10
[2026-06-13 20:34:13] Epoch 1 | architecture=[68, 67] train_loss=0.003212 val_loss=0.002413 best=0.002413 es=0/10
[2026-06-13 20:34:13] Epoch 1 | architecture=[68, 67] train_loss=0.001795 val_loss=0.003276 best=0.003276 es=0/10
[2026-06-13 20:34:13] Epoch 1 | architecture=[68, 67] train_loss=0.001837 val_loss=0.003011 best=0.003011 es=0/10
[2026-06-13 20:34:13] Epoch 1 | architecture=[68, 67] train_loss=0.002453 val_loss=0.002170 best=0.002170 es=0/10
[2026-06-13 20:34:14] Epoch 1 | architecture=[68, 67] train_loss=0.002886 val_loss=0.002477 best=0.002477 es=0/10
[2026-06-13 20:34:14] Epoch 1 | architecture=[68, 67] train_loss=0.001578 val_loss=0.002464 best=0.002464 es=0/10
[2026-06-13 20:34:14] Epoch 1 | architecture=[68, 67] train_loss=0.002588 val_loss=0.002786 best=0.002786 es=0/10
