[2026-06-14 01:35:24] Initialized ContinuousLogger for MLPS.tabular.shared.dae_dnn.adp_search (Mode: width_to_depth)
[2026-06-14 01:35:24] Logs: MLPS/tabular/shared/dae_dnn/results/adp/w2d/main_without_denoising_v1/repeat_03/simulation/cand_015_d1_w16/training_log.txt
[2026-06-14 01:35:24] CSV: MLPS/tabular/shared/dae_dnn/results/adp/w2d/main_without_denoising_v1/repeat_03/simulation/cand_015_d1_w16/training_stats.csv
[2026-06-14 01:35:24] Epoch 1 | architecture=[16] train_loss=0.040495 val_loss=0.028394 best=0.028394 es=0/10
[2026-06-14 01:35:25] Epoch 1 | architecture=[16] train_loss=0.032710 val_loss=0.025390 best=0.025390 es=0/10
[2026-06-14 01:35:25] Epoch 1 | architecture=[16] train_loss=0.029148 val_loss=0.026509 best=0.026509 es=0/10
[2026-06-14 01:35:25] Epoch 1 | architecture=[16] train_loss=0.026723 val_loss=0.027788 best=0.027788 es=0/10
[2026-06-14 01:35:26] Epoch 1 | architecture=[16] train_loss=0.025677 val_loss=0.028269 best=0.028269 es=0/10
[2026-06-14 01:35:26] Epoch 1 | architecture=[16] train_loss=0.025024 val_loss=0.028645 best=0.028645 es=0/10
[2026-06-14 01:35:26] Epoch 1 | architecture=[16] train_loss=0.024687 val_loss=0.028743 best=0.028743 es=0/10
[2026-06-14 01:35:26] Epoch 1 | architecture=[16] train_loss=0.024673 val_loss=0.028167 best=0.028167 es=0/10
[2026-06-14 01:35:27] Epoch 1 | architecture=[16] train_loss=0.024358 val_loss=0.027248 best=0.027248 es=0/10
[2026-06-14 01:35:27] Epoch 1 | architecture=[16] train_loss=0.024156 val_loss=0.025674 best=0.025674 es=0/10
[2026-06-14 01:35:28] Epoch 1 | architecture=[16] train_loss=0.023834 val_loss=0.024562 best=0.024562 es=0/10
[2026-06-14 01:35:28] Epoch 1 | architecture=[16] train_loss=0.023625 val_loss=0.023979 best=0.023979 es=0/10
[2026-06-14 01:35:28] Epoch 1 | architecture=[16] train_loss=0.023282 val_loss=0.024204 best=0.024204 es=0/10
[2026-06-14 01:35:28] Epoch 1 | architecture=[16] train_loss=0.023445 val_loss=0.025330 best=0.025330 es=0/10
[2026-06-14 01:35:29] Epoch 1 | architecture=[16] train_loss=0.023522 val_loss=0.025104 best=0.025104 es=0/10
[2026-06-14 01:35:29] Epoch 1 | architecture=[16] train_loss=0.022808 val_loss=0.024517 best=0.024517 es=0/10
[2026-06-14 01:35:29] Epoch 1 | architecture=[16] train_loss=0.023251 val_loss=0.023900 best=0.023900 es=0/10
[2026-06-14 01:35:29] Epoch 1 | architecture=[16] train_loss=0.022994 val_loss=0.023689 best=0.023689 es=0/10
[2026-06-14 01:35:30] Epoch 1 | architecture=[16] train_loss=0.022411 val_loss=0.023638 best=0.023638 es=0/10
[2026-06-14 01:35:30] Epoch 1 | architecture=[16] train_loss=0.022560 val_loss=0.023573 best=0.023573 es=0/10
[2026-06-14 01:35:30] Epoch 1 | architecture=[16] train_loss=0.022131 val_loss=0.023481 best=0.023481 es=0/10
[2026-06-14 01:35:30] Epoch 1 | architecture=[16] train_loss=0.022251 val_loss=0.023774 best=0.023774 es=0/10
[2026-06-14 01:35:31] Epoch 1 | architecture=[16] train_loss=0.022099 val_loss=0.023637 best=0.023637 es=0/10
[2026-06-14 01:35:31] Epoch 1 | architecture=[16] train_loss=0.022187 val_loss=0.023125 best=0.023125 es=0/10
[2026-06-14 01:35:31] Epoch 1 | architecture=[16] train_loss=0.022026 val_loss=0.022753 best=0.022753 es=0/10
[2026-06-14 01:35:31] Epoch 1 | architecture=[16] train_loss=0.021731 val_loss=0.022578 best=0.022578 es=0/10
[2026-06-14 01:35:32] Epoch 1 | architecture=[16] train_loss=0.023165 val_loss=0.022766 best=0.022766 es=0/10
[2026-06-14 01:35:32] Epoch 1 | architecture=[16] train_loss=0.022156 val_loss=0.023188 best=0.023188 es=0/10
[2026-06-14 01:35:32] Epoch 1 | architecture=[16] train_loss=0.021616 val_loss=0.022983 best=0.022983 es=0/10
[2026-06-14 01:35:33] Epoch 1 | architecture=[16] train_loss=0.021806 val_loss=0.022438 best=0.022438 es=0/10
[2026-06-14 01:35:33] Epoch 1 | architecture=[16] train_loss=0.021767 val_loss=0.022425 best=0.022425 es=0/10
[2026-06-14 01:35:33] Epoch 1 | architecture=[16] train_loss=0.021506 val_loss=0.022609 best=0.022609 es=0/10
[2026-06-14 01:35:33] Epoch 1 | architecture=[16] train_loss=0.021756 val_loss=0.022768 best=0.022768 es=0/10
[2026-06-14 01:35:34] Epoch 1 | architecture=[16] train_loss=0.021831 val_loss=0.022908 best=0.022908 es=0/10
[2026-06-14 01:35:34] Epoch 1 | architecture=[16] train_loss=0.021855 val_loss=0.022803 best=0.022803 es=0/10
[2026-06-14 01:35:34] Epoch 1 | architecture=[16] train_loss=0.021682 val_loss=0.022636 best=0.022636 es=0/10
[2026-06-14 01:35:35] Epoch 1 | architecture=[16] train_loss=0.021803 val_loss=0.022447 best=0.022447 es=0/10
[2026-06-14 01:35:35] Epoch 1 | architecture=[16] train_loss=0.021813 val_loss=0.022591 best=0.022591 es=0/10
[2026-06-14 01:35:35] Epoch 1 | architecture=[16] train_loss=0.021365 val_loss=0.022721 best=0.022721 es=0/10
[2026-06-14 01:35:35] Epoch 1 | architecture=[16] train_loss=0.021475 val_loss=0.022478 best=0.022478 es=0/10
