[2026-06-14 01:39:14] Initialized ContinuousLogger for MLPS.tabular.shared.dae_dnn.adp_search (Mode: width_to_depth)
[2026-06-14 01:39:14] Logs: MLPS/tabular/shared/dae_dnn/results/adp/w2d/main_without_denoising_v1/repeat_03/simulation/cand_041_d1_w42/training_log.txt
[2026-06-14 01:39:14] CSV: MLPS/tabular/shared/dae_dnn/results/adp/w2d/main_without_denoising_v1/repeat_03/simulation/cand_041_d1_w42/training_stats.csv
[2026-06-14 01:39:14] Epoch 1 | architecture=[42] train_loss=0.017438 val_loss=0.015893 best=0.015893 es=0/10
[2026-06-14 01:39:14] Epoch 1 | architecture=[42] train_loss=0.014336 val_loss=0.017607 best=0.017607 es=0/10
[2026-06-14 01:39:15] Epoch 1 | architecture=[42] train_loss=0.014573 val_loss=0.017155 best=0.017155 es=0/10
[2026-06-14 01:39:15] Epoch 1 | architecture=[42] train_loss=0.014343 val_loss=0.014821 best=0.014821 es=0/10
[2026-06-14 01:39:15] Epoch 1 | architecture=[42] train_loss=0.013811 val_loss=0.014422 best=0.014422 es=0/10
[2026-06-14 01:39:15] Epoch 1 | architecture=[42] train_loss=0.014015 val_loss=0.014064 best=0.014064 es=0/10
[2026-06-14 01:39:16] Epoch 1 | architecture=[42] train_loss=0.013513 val_loss=0.014855 best=0.014855 es=0/10
[2026-06-14 01:39:16] Epoch 1 | architecture=[42] train_loss=0.013447 val_loss=0.016303 best=0.016303 es=0/10
[2026-06-14 01:39:17] Epoch 1 | architecture=[42] train_loss=0.013721 val_loss=0.016844 best=0.016844 es=0/10
[2026-06-14 01:39:17] Epoch 1 | architecture=[42] train_loss=0.013469 val_loss=0.015573 best=0.015573 es=0/10
[2026-06-14 01:39:17] Epoch 1 | architecture=[42] train_loss=0.013827 val_loss=0.014090 best=0.014090 es=0/10
[2026-06-14 01:39:17] Epoch 1 | architecture=[42] train_loss=0.013402 val_loss=0.013500 best=0.013500 es=0/10
[2026-06-14 01:39:18] Epoch 1 | architecture=[42] train_loss=0.012751 val_loss=0.013455 best=0.013455 es=0/10
[2026-06-14 01:39:18] Epoch 1 | architecture=[42] train_loss=0.014693 val_loss=0.014135 best=0.014135 es=0/10
[2026-06-14 01:39:19] Epoch 1 | architecture=[42] train_loss=0.013247 val_loss=0.015233 best=0.015233 es=0/10
[2026-06-14 01:39:19] Epoch 1 | architecture=[42] train_loss=0.013084 val_loss=0.015734 best=0.015734 es=0/10
[2026-06-14 01:39:19] Epoch 1 | architecture=[42] train_loss=0.012808 val_loss=0.015136 best=0.015136 es=0/10
[2026-06-14 01:39:20] Epoch 1 | architecture=[42] train_loss=0.012661 val_loss=0.014366 best=0.014366 es=0/10
[2026-06-14 01:39:20] Epoch 1 | architecture=[42] train_loss=0.013132 val_loss=0.013937 best=0.013937 es=0/10
[2026-06-14 01:39:21] Epoch 1 | architecture=[42] train_loss=0.013111 val_loss=0.014214 best=0.014214 es=0/10
[2026-06-14 01:39:21] Epoch 1 | architecture=[42] train_loss=0.013062 val_loss=0.014760 best=0.014760 es=0/10
[2026-06-14 01:39:21] Epoch 1 | architecture=[42] train_loss=0.012548 val_loss=0.015204 best=0.015204 es=0/10
